id,started_date,crop,crop_variety,seed_brand,medium,format,seed_weight_oz,seed_media_treatment_notes,first_emerge_date,full_emerge_date,emergence_notes,date_of_first_transplant,date_of_second_transplant,harvested_on,harvest_weight_oz,hrvst_wt_lbs,harvest_week,harvest_notes,created_at,updated_at,flat_id,date_of_third_transplant,former_flat_id,seed_treatments_id,days_to_harvest_from_sew,days_to_harvest_from_soak,room_id,current_system_id,exclude_from_freshlist,force_onto_freshlist,sewn_for
54,2018-01-29,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-01,2018-02-01,"",2018-02-02,2018-02-05,2018-10-05,10.07,0.629375,40,DONE,2018-01-29 14:11:37 -0800,2018-10-05 09:38:26 -0700,,2018-02-07,,,,,1,,,,
53,2018-01-29,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-30,2018-01-30,"",2018-02-02,2018-02-05,2018-10-05,5.91,0.369375,40,DONE,2018-01-29 14:11:19 -0800,2018-10-05 09:38:26 -0700,,2018-02-08,,,,,1,,,,
74,2018-02-07,sunflower,black oil,rexseed,biostrate felt,matt,1.5,48hr nut sol soak,2018-02-09,,"",,,2018-10-05,0.0,0.0,40,"huge, scary mold. killed on feb 15",2018-02-06 18:04:25 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
71,2018-02-07,pea,dun,handy pantry seeds & grain,biostrate felt,matt,1.5,48hr nut sol soak,2018-02-08,2018-02-09,"",2018-02-12,2018-02-23,2018-10-05,2.16,0.135,40,formerly flat # RICK | ,2018-02-06 17:52:04 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
68,2018-02-05,pea,dun,handy pantry seeds & grain,biostrate felt,matt,0.8,no treatment,2018-02-07,2018-02-07,"",2018-02-12,2018-02-18,2018-10-05,4.02,0.25125,40,"",2018-02-04 22:35:34 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
63,2018-02-05,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-06,2018-02-06,"",2018-02-09,2018-02-22,2018-10-05,10.41,0.650625,40,formerly flat # ron | ,2018-02-04 22:10:13 -0800,2018-10-05 09:38:27 -0700,,2018-02-25,,,,,1,,,,
66,2018-02-05,sunflower,black oil,rexseed,biostrate felt,matt,0.6,no treatment,2018-02-07,2018-02-08,"",2018-02-12,,2018-10-05,0.0,0.0,40,"",2018-02-04 22:23:38 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
57,2018-01-31,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-02,2018-02-03,"",2018-02-07,2018-02-15,2018-10-05,8.92,0.5575,40,"",2018-01-31 11:02:15 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
23,2018-01-09,kale,red russian,mountain valley seed co,biostrate felt,matt,0.6,no treatment,2018-01-10,2018-01-11,"",2018-01-15,2018-01-19,2018-10-05,10.67,0.666875,40,DONE,2018-01-22 15:21:10 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
73,2018-02-07,sunflower,black oil,rexseed,biostrate felt,matt,1.5,48hr nut sol soak,2018-02-09,,"",,,2018-10-05,0.0,0.0,40,"huge, scary mold. killed on feb 15",2018-02-06 18:02:50 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
65,2018-02-05,sunflower,black oil,rexseed,biostrate felt,matt,0.6,no treatment,2018-02-07,2018-02-08,"",2018-02-12,2018-02-18,2018-10-05,0.0,0.0,40,"",2018-02-04 22:14:34 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
52,2018-01-29,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-30,2018-01-31,"",2018-02-05,2018-02-12,2018-10-05,8.46,0.52875,40,formerly flat # 85 | ,2018-01-29 14:04:09 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
61,2018-02-02,radish,red arrow,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-02-03,2018-02-03,"",2018-02-07,2018-02-22,2018-10-05,15.87,0.991875,40,formerly flat # 73 | ,2018-02-02 09:30:52 -0800,2018-10-05 09:38:27 -0700,,2018-02-25,,,,,1,,,,
47,2018-01-29,kale,red russian,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-30,2018-01-31,"",2018-02-05,2018-02-09,2018-10-05,7.49,0.468125,40,"",2018-01-29 13:52:19 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
69,2018-02-07,pea,dun,handy pantry seeds & grain,biostrate felt,matt,1.5,48hr nut sol soak,2018-02-08,2018-02-09,"",2018-02-12,2018-02-18,2018-10-05,2.72,0.17,40,"",2018-02-06 17:50:13 -0800,2018-10-05 09:38:27 -0700,,,,,,,1,,,,
14,2018-01-22,broccoli,waltham 29,mountain valley seed co,biostrate felt,matt,0.4,no treatment,2018-01-24,2018-01-24,"",2018-02-01,2018-02-07,2018-10-05,7.87,0.491875,40,"",2018-01-22 14:43:26 -0800,2018-10-05 09:38:27 -0700,,2018-02-09,,,,,1,,,,
